Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
AJ Price,CLE,26,11,15,12.4,1.2,0.3,28.1,2.6,47.1,0.2,50,12.3
Aaron Brooks,CHI,82,50,32,23,2,0.4,19.3,5.5,37,0.4,39.7,10.6
Aaron Gordon,ORL,47,14,33,17,3.6,1.5,42.6,6.8,53.1,0.4,56.9,5.7
Adreian Payne,MIN,32,7,25,23.1,5.1,2,38.9,9.5,53.1,0.7,57,5.6
Al Horford,ATL,76,56,20,30.5,7.2,3.5,49.4,12.8,56,0.8,59.9,6.1
Al Jefferson,CHA,65,25,40,30.6,8.4,3.4,40.5,14.4,58.4,0.9,62.4,4.9
Al-Farouq Aminu,DAL,74,45,29,18.5,4.6,2.1,45.9,8.6,53.7,0.9,59.8,6
Alan Anderson,BKN,74,35,39,23.6,2.8,0.7,27,5.9,46.9,0.6,51.9,8.6
Alec Burks,UTA,27,9,18,33.3,4.2,1.1,25.4,9.1,46.3,0.8,50.7,7.2
Alex Kirk,CLE,5,2,3,2.8,0.2,0.2,100,0.4,50,0,50,4.1
Alex Len,PHX,69,35,34,22,6.6,3.8,58.1,13.4,48.9,1.1,53.5,4.1
Alexey Shved,NYK,42,10,32,18.3,2.4,0.7,29.3,5.3,44.6,0.4,48.1,9.3
Alexis Ajinca,NOP,68,41,27,14.1,4.6,2.4,51.7,8.2,56.8,0.4,59.5,4.6
Allen Crabbe,POR,51,36,15,13.4,1.4,0.3,19.2,3.2,45.3,0.2,48,6.6
Alonzo Gee,POR,54,21,33,12.2,1.7,0.8,43.6,4.2,41.6,0.3,44.5,7.7
Amar'e Stoudemire,DAL,58,19,39,21.3,5.6,3.2,57.2,11.8,47.9,0.7,50.9,4.2
Amir Johnson,TOR,75,44,31,26.4,6.1,3.6,59.4,13.6,44.8,1.1,48.9,4.7
Anderson Varejao,CLE,26,16,10,24.4,6.5,2.9,44.1,14,46.8,0.8,49.9,5.2
Andre Dawkins,MIA,4,2,2,5.4,0.5,0.5,100,1,50,0.3,66.7,9.6
Andre Drummond,DET,82,32,50,30.5,13.5,7.2,53.8,21.7,62,1,64.9,4.3
Andre Iguodala,GSW,77,64,13,26.9,3.3,0.8,23.7,6.6,50.2,0.2,52.1,9.8
Andre Miller,SAC,81,44,37,15.5,1.9,0.5,26.8,4.2,45.1,0.3,48.3,10.2
Andre Roberson,OKC,67,41,26,19.2,3.8,1.3,34.9,7.9,48,0.5,51.1,6.4
Andrea Bargnani,NYK,29,5,24,27.1,4.4,1.5,34.6,8.9,49.2,0.6,52.7,6.1
Andrei Kirilenko,BKN,7,3,4,5.2,1.1,0.6,50,2.4,47.1,0.4,57.1,6.1
Andrew Bogut,GSW,67,58,9,23.6,8.1,4.4,54.9,14.6,55.7,0.9,59.4,4.2
Andrew Nicholson,ORL,40,14,26,12.3,2.1,1.1,51.2,4.5,45.6,0.4,50,4.9
Andrew Wiggins,MIN,81,16,65,36.3,4.6,2.1,46.1,10.9,42.2,0.5,44.4,7.5
Anthony Bennett,MIN,56,12,44,15.8,3.8,1.6,42.5,6.9,55.2,0.4,58.2,5
Anthony Davis,NOP,68,39,29,36.1,10.2,5,49.1,16,63.9,0.7,66.7,5.1
Anthony Morrow,OKC,74,42,32,24.4,2.6,0.9,32.3,4.6,56.7,0.3,60.6,9.8
Anthony Tolliver,DET,76,36,40,18.9,3.1,1,32.6,7.1,44,0.6,48.2,5.7
Archie Goodwin,PHX,41,16,25,13,1.8,0.8,43.2,4.4,40.9,0.2,43.3,6.6
Arinze Onuaku,MIN,6,0,6,11.4,3.5,1.8,52.4,5.5,63.6,0,63.6,4.4
Aron Baynes,SAS,70,49,21,16,4.5,2.5,54.1,9.7,46.7,0.7,50.2,4.6
Arron Afflalo,POR,78,35,43,32.1,3.2,0.4,13,6.1,51.9,0.4,55.4,10.4
Austin Daye,ATL,34,17,17,10.1,2.2,0.9,38.7,3.8,58.6,0.3,63.6,7.4
Austin Rivers,LAC,76,46,30,20.6,2,0.4,21.1,5.3,38,0.5,42,9
Avery Bradley,BOS,77,37,40,31.5,3.1,0.5,16.6,7.5,42,0.7,46.1,7.8
Ben Gordon,ORL,56,17,39,14.1,1.1,0.2,19,2.6,43.2,0.3,47.7,9.7
Ben McLemore,SAC,82,29,53,32.6,2.9,0.5,17,7.4,39.8,0.6,43.5,8.7
Beno Udrih,MEM,79,55,24,18.9,1.8,0.3,15.4,4.2,42.9,0.4,46.9,10.9
Bernard James,DAL,16,6,10,9.9,2.4,1.3,53.8,5.3,45.9,0.4,49.4,5.5
Bismack Biyombo,CHA,64,26,38,19.4,6.4,3.4,53.6,13.2,48.1,0.9,51.5,4.7
Blake Griffin,LAC,67,47,20,35.2,7.6,3.4,44.5,14.9,51.1,1,54.7,5.5
