Date	Location	Team	OppTeam	TeamId	GameId	PercentBet_ML	Open_Line_ML	Pinnacle_ML	5dimes_ML	Heritage_ML	Bovada_ML	Betonline_ML	Average_Line_ML	Best_Line_ML	Worst_Line_ML	PercentBet_Spread	Open_Line_Spread	Open_Odds_Spread	Pinnacle_Line_Spread	Pinnacle_Odds_Spread	5dimes_Line_Spread	5dimes_Odds_Spread	Heritage_Line_Spread	Heritage_Odds_Spread	Bovada_Line_Spread	Bovada_Odds_Spread	Betonline_Line_Spread	Betonline_Odds_Spread	Average_Line_Spread	Average_Odds_Spread	Best_Line_Spread	Worst_Line_Spread	Best_Odds_Spread	Worst_Odds_Spread	PercentBet_OU	Open_Line_OU	Open_Odds_OU	Pinnacle_Line_OU	Pinnacle_Odds_OU	5dimes_Line_OU	5dimes_Odds_OU	Heritage_Line_OU	Heritage_Odds_OU	Bovada_Line_OU	Bovada_Odds_OU	Betonline_Line_OU	Betonline_Odds_OU	Average_Line_OU	Average_Odds_OU	Best_Line_OU	Worst_Line_OU	Best_Odds_OU	Worst_Odds_OU	Pts	Spread	Result	Total
10/16/18	away	Philadelphia	Boston	1610612755	21800001	46	172	181	185	180	190	180	183.2	190	180	45.1			4.5	-101	4.5	-103	4.5	-105	5.5	-110	4.5	-110	4.7	-105.8	5.5	4.5	-101	-110	56.9	208.5	-110	211	-105	211	-102	211.5	-105	212	-105	211.5	-110	210.92	-106.17	212	208.5	-102	-110	87	-18	L	192
10/16/18	home	Boston	Philadelphia	1610612738	21800001	54	-205	-202	-200	-210	-230	-210	-210.4	-200	-230	54.9			-4.5	-109	-4.5	-107	-4.5	-105	-5.5	-110	-4.5	-110	-4.7	-108.2	-4.5	-5.5	-105	-110	43.1	208.5	-110	211	-105	211	-108	211.5	-105	212	-115	211.5	-110	210.92	-108.83	212	208.5	-105	-115	105	18	W	192
10/16/18	away	Oklahoma City	Golden State	1610612760	21800002	55.7	664	768	725	600	650	825	713.6	825	600	42.4	11.5	-110	12.5	-102	12.5	-104	12.5	-105	13.5	-110	12.5	-105	12.5	-106	13.5	11.5	-102	-110	52.2	223.5	-110	220.5	-105	220	-105	220.5	-105	220	-115	220.5	-110	220.83	-108.33	223.5	220	-105	-115	100	-8	L	208
10/16/18	home	Golden State	Oklahoma City	1610612744	21800002	44.3	-1000	-1002	-925	-850	-1100	-1200	-1015.4	-850	-1200	57.6	-11.5	-110	-12.5	-113	-12.5	-106	-12.5	-105	-13.5	-110	-12.5	-115	-12.5	-109.83	-11.5	-13.5	-105	-115	47.8	223.5	-110	220.5	-105	220	-105	220.5	-105	220	-105	220.5	-110	220.83	-106.67	223.5	220	-105	-110	108	8	W	208
10/17/18	away	Milwaukee	Charlotte	1610612749	21800003	58.9	-130	-160	-155	-160	-170	-165	-162	-155	-170	58.6			-3.5	-105	-3.5	-107	-3.5	-105	-4	-110	-3	-120	-3.5	-109.4	-3	-4	-105	-120	56.7	217	-110	222	-104	222	-108	222.5	-105	221	-115	222	-110	221.08	-108.67	222.5	217	-104	-115	113	1	W	225
10/17/18	home	Charlotte	Milwaukee	1610612766	21800003	41.1	110	145	145	140	150	145	145	150	140	41.4			3.5	-105	3.5	-103	3.5	-105	4	-110	3	-100	3.5	-104.6	4	3	-100	-110	43.3	217	-110	222	-106	222	-102	222.5	-105	221	-105	222	-110	221.08	-106.33	222.5	217	-102	-110	112	-1	L	225
10/17/18	away	Brooklyn	Detroit	1610612751	21800004	47.7		216	200	210	215	205	209.2	216	200	49.3	4.5	-110	6	-104	6	-108	6	-105	6.5	-110	6	-115	5.83	-108.67	6.5	4.5	-104	-115	47	212	-110	212.5	-103	212.5	-105	212.5	-105	212	-115	212.5	-110	212.33	-108	212.5	212	-103	-115	100	-3	L	203
10/17/18	home	Detroit	Brooklyn	1610612765	21800004	52.3		-242	-220	-250	-255	-245	-242.4	-220	-255	50.7	-4.5	-110	-6	-106	-6	-102	-6	-105	-6.5	-110	-6	-105	-5.83	-106.33	-4.5	-6.5	-102	-110	53	212	-110	212.5	-107	212.5	-105	212.5	-105	212	-105	212.5	-110	212.33	-107	212.5	212	-105	-110	103	3	W	203
10/17/18	away	Memphis	Indiana	1610612763	21800005	43.9	215	241	260	250	255	245	250.2	260	241	51.5	7	-110	7.5	-109	7.5	-105	7.5	-105	7.5	-115	7.5	-113	7.42	-109.5	7.5	7	-105	-115	37.6	209	-110	204.5	-103	204.5	-102	204.5	-105	205	-105	204.5	-110	205.33	-105.83	209	204.5	-102	-110	83	-28	L	194
10/17/18	home	Indiana	Memphis	1610612754	21800005	56.1	-260	-272	-290	-310	-310	-290	-294.4	-272	-310	48.5	-7	-110	-7.5	-101	-7.5	-105	-7.5	-105	-7.5	-105	-7.5	-107	-7.42	-105.5	-7	-7.5	-101	-110	62.4	209	-110	204.5	-107	204.5	-108	204.5	-105	205	-115	204.5	-110	205.33	-109.17	209	204.5	-105	-115	111	28	W	194
